;274768;
пульмональная;1888;
Выраженная;1857;
релаксации;1857;
повышена;1838;
оценки;1826;
сегмента;1824;
АоК;1799;
гипокинезия;1797;
гипокинезии;1764;
предсердий;1746;
Количество;1734;
базальных;1692;
Умеренная;1664;
сохранена;1656;
целью;1628;
Давление;1595;
Simpson;1580;
глобальной;1577;
ЛА;1577;
значительно;1575;
концентрическая;1567;
масса;1531;
трикуспидальная;1484;
Систолическая;1473;
кровотока;1448;
базального;1441;
сократительной;1379;
Приклапанная;1358;
способности;1356;
массы;1355;
сократимость;1347;
срединного;1302;
dPmean;1295;
клапанов;1279;
незначительно;1232;
~;1217;
СДЛА;1197;
нормы;1183;
исследования;1131;
Аортальная;1124;
превышает;1099;
АК;1097;
норма;1095;
ТР;1089;
удалось;1084;
Дилатация;1075;
ртст;1060;
физиологическое;1046;
способность;1039;
Ао;1027;
отдел;1025;
кальциноз;1014;
увеличена;1001;
визуализируется;992;
дистальных;971;
mmHg;963;
Легкая;957;
ОТС;955;
EF;952;
увеличено;947;
КГ;946;
протяжении;939;
*;932;
Систолическое;930;
нарушение;927;
Допплер;925;
ПП;923;
листков;922;
BP;922;
эксцентрическая;919;
гипертензия;910;
Объем;896;
всем;875;
Остальные;862;
фибрилляция;861;
Масса;860;
Камеры;859;
ВТЛЖ;845;
выявлена;845;
Размер;843;
Заключение;838;
нет;837;
функции;837;
смс;834;
клапанах;830;
ригидному;816;
створок;793;
Скорость;785;
локальной;764;
ствол;762;
систолической;762;
обоих;754;
камер;753;
Гипокинезия;749;
ГЛЖ;744;
Пульмональная;739;
кольца;734;
В;732;
Акинезия;730;
дуги;724;
ЛГ;721;
локальная;719;
TAVS;713;
границе;706;
Визуализация;699;
Снижение;698;
митральная;697;
определить;696;
области;692;
НПВ;681;
всех;681;
спадается;678;
гипоакинезии;674;
стенкой;671;
увеличен;669;
акинезия;667;
расслабления;664;
Восходящий;645;
верхней;626;
фоне;626;
гм;625;
визуализируются;618;
размер;612;
Умеренно;612;
Аополулуния;609;
верхушечных;604;
регургитации;601;
циркулярно;583;
определяется;571;
клапаны;553;
Индекс;551;
правых;548;
аневризма;546;
диссинхронии;540;
повышен;535;
нормально;533;
Площадь;530;
расширено;527;
аортальный;517;
функционирует;516;
диастолической;506;
дисфункции;501;
аппарат;497;
остальные;497;
увеличены;495;
тип;491;
Сократимость;491;
Ts;490;
Лёгкая;488;
TDI;486;
лоцируется;484;
межжелудочковой;477;
переднего;476;
ТК;473;
ЭКС;465;
расхождение;462;
нарушений;460;
объема;458;
зон;450;
нижних;444;
сегментах;444;
стеноз;439;
Клапанный;438;
Легочный;436;
аортальная;433;
х;431;
площадь;427;
Задняя;427;
Исследование;426;
мышц;423;
папиллярных;420;
мсек;419;
МНедст;419;
Значимых;417;
регургитаций;415;
Нарушение;414;
S;404;
МН;401;
перикард;397;
признаков;394;
верхушечного;394;
клапанных;394;
затруднена;392;
сегмент;391;
повышены;390;
патологии;389;
Снижения;378;
кровоток;378;
количество;370;
у;370;
изменений;367;
выраженная;365;
изменения;359;
ЭХОКГ;358;
восходящий;358;
около;357;
Ритм;357;
диастолу;356;
части;353;
дилятация;350;
убедительных;348;
левых;343;
внутрижелудочковой;343;
нижнего;339;
через;338;
выброса;337;
нарушен;337;
синусов;335;
сепарация;334;
недостаточность;332;
оценить;331;
Лёгочная;331;
правым;331;
пациента;329;
Небольшая;325;
дистального;323;
систолу;322;
Фракция;320;
сегменте;320;
свободной;319;
градиент;318;
смсек;316;
локального;316;
Корень;316;
Нарушений;315;
показатели;315;
Легко;314;
фиброз;314;
отделов;312;
Зон;312;
перегородочных;312;
ЭХО;310;
TR;310;
дискинезия;308;
псевдонормальному;308;
клапанная;308;
шунтирование;306;
нижнебоковых;306;
бо;305;
Желудочки;305;
трикуспидального;304;
неравномерно;303;
исходно;303;
тракт;301;
срединном;301;
расширение;299;
миокарда*;299;
AV;298;
диффузной;298;
PV;298;
DecTime;297;
полостях;297;
Сократительная;297;
перегородки;296;
диффузная;295;
диастола—;295;
предсердием;295;
оптимальная;295;
желудочки;294;
продольный;293;
умерено;292;
Выносящий;292;
p;290;
продольная;289;
данным;288;
кгм;288;
дистальный;288;
ИМТ;288;
MVEMVA;288;
BSA;288;
умеренная;286;
кг;285;
Вес;284;
дисфункцией;284;
Рост;284;
Дата;284;
протез;282;
типа;282;
базальном;282;
Начальная;282;
оснований;281;
Полости;280;
лёгочной;278;
невозможно;272;
пределах;272;
Концентрическая;269;
Эксцентрическая;269;
изгиб;268;
уплотнена;265;
Кинетика;265;
обусловлена;265;
Значимая;263;
Расхождение;262;
склерозированы;259;
утолщена;257;
выраженной;257;
Зона;255;
желка;253;
от;253;
апикальных;252;
ПК;252;
образования;250;
Патологическое;249;
переднеперегородочного;248;
значимых;247;
более;245;
кальцинаты;245;
S';245;
Значительная;244;
Расширен;243;
камерах;241;
верхушкой;241;
динамики;240;
достоверно;239;
уплотнен;238;
Sобразный;237;
менее;235;
заднего;233;
рестриктивному;227;
Незначительная;226;
ERO;226;
поверхности;224;
тела;223;
Мкольцо;222;
легкая;222;
объём;221;
краям;221;
диастолическая;220;
max;220;
ЭКГ;219;
Аортальной;219;
для;219;
норме;219;
гипоакинезия;218;
из;218;
средний;218;
движение;217;
лоцируются;217;
Аок;216;
Врач;216;
Патологические;216;
раскрытие;216;
Ортоградный;213;
желудочков;213;
ТН;212;
Оценка;212;
удмин;211;
симметрично;210;
спине;210;
преимущественно;209;
вероятно;209;
Межжелудочковая;209;
динамике;208;
убедительно;208;
При;208;
визуализирована;206;
шунтирования;206;
min;206;
МО;204;
ТрК;204;
широкая;204;
МЖД;203;
полость;203;
положением;203;
ИММ*;202;
задержка;202;
механическая;201;
 ;201;
сравнению;201;
I;199;
основания;199;
вынужденным;199;
вследствие;198;
выраженный;197;
клапанной;197;
правыми;196;
SD;195;
пульмонального;194;
камерами;194;
ВЖД;194;
QRSAo;192;
QRSPulm;192;
к;191;
Значимой;191;
тканевой;190;
ммртст;189;
дискинезии;187;
правые;183;
объем;182;
кальциноза;181;
РСДЛА;181;
По;180;
трехстворчатый;180;
contracta;179;
МР;177;
анатомоконституциональных;176;
гипертрофирован;176;
перед;176;
оценка;175;
связи;172;
кольцо;172;
колебаний;172;
режиме;172;
Вальсальвы;172;
нижнеперегородочного;171;
Vper;171;
Vena;171;
ремоделирование;170;
Показатели;169;
РНТ;168;
основании;166;
резко;165;
QRS;165;
отмечается;165;
после;163;
заднебоковой;163;
отверстия;162;
границы;162;
Листки;161;
Дилятация;161;
выпота;161;
Кальциноз;161;
измерить;161;
ТДГ;160;
Патологического;160;
Определяется;159;
передних;157;
допплерографией;157;
основаниях;157;
тромб;156;
Фиброз;154;
крови;154;
частотой;154;
допплерография;154;
диссинхрония;153;
вдоль;152;
небольшая;152;
подклапанных;151;
Тканевая;151;
полулуний;150;
Псевдонормальный;148;
Полулуния;147;
мелкие;147;
дуга;146;
ПБЛНПГ;145;
Легкий;145;
легкий;144;
На;144;
стеноза;144;
снижение;143;
ДопплерКГ;143;
Нарушения;143;
перегородочного;142;
удлинены;142;
получено;141;
структурах;141;
данных;141;
Выраженный;139;
отдела;139;
сравнении;139;
Клапаны;138;
грубых;138;
сохранены;137;
выявлены;137;
остальных;135;
позиции;135;
Локальные;133;
ТрНедст;133;
Размеры;131;
расчетные;130;
верхушечном;129;
лёгкая;129;
Боковая;129;
наличие;128;
боковых;127;
Передняя;127;
спонтанного;127;
средней;126;
пролапс;124;
Локальных;123;
верхушке;122;
их;122;
переднеперегородочных;122;
участками;121;
Базальный;121;
Незначительно;120;
перикарде;120;
устье;120;
формированием;120;
ограничена;119;
выходном;119;
лоцировать;119;
достаточное;119;
срединнодистальных;119;
легочный;117;
сердечного;117;
размеров;117;
бокового;116;
Склероз;116;
значимая;115;
хордах;114;
индексу;114;
базальный;114;
контрастирования;113;
Гипоакинезия;113;
элементами;113;
клапане;113;
легкого;113;
цикла;113;
Tsмс;111;
Лоцируется;111;
сосуды;111;
нормальное;111;
Перегородочная;110;
уплотнение;109;
счёт;109;
во;108;
Трк;108;
признаки;108;
нижнебокового;107;
склеродегенеративные;107;
трети;107;
Переднеперегородочная;107;
кальцинат;106;
правый;105;
диастолы;105;
МРегст;105;
пограничных;105;
Небольшое;105;
Концентрическое;105;
Аневризма;104;
Sобразно;104;
её;104;
скорость;103;
Син;103;
изменён;102;
боковая;102;
больного;102;
Длительность;101;
Гипертрофия;101;
ПР;101;
листке;101;
жидкость;101;
образование;101;
удовлетворительная;100;
целостными;100;
подвижность;100;
ТAVS;99;
створка;99;
умеренный;99;
несколько;98;
висцеральном;98;
Мрегст;98;
значимой;98;
слегка;97;
экстрасистолия;97;
стенке;96;
расширением;96;
изогнута;96;
ФИО;96;
исследованием;96;
при;95;
Sm;95;
давления;95;
ЕА;95;
увеличение;94;
расчетная;94;
предыдущего;94;
 уплотнены;94;
Лясникова;94;
среднего;94;
корень;93;
Ствол;93;
значений;93;
АР;93;
Умеренный;92;
заднем;91;
миокард;91;
фибрин;91;
восходящего;90;
Крупные;90;
ТрРегст;89;
АС;88;
начальный;88;
положении;88;
синусах;87;
положения;87;
начальная;87;
гипертрофии;87;
ia;87;
Признаков;86;
Тррегст;86;
снижено;86;
им;85;
порок;85;
Мнедст;85;
Трёхстворчатый;85;
ИКДО;85;
визуализировать;85;
переднебоковых;85;
пик;84;
АН;84;
Вахрамеева;84;
НВ;84;
Hg;84;
зоны;83;
ригидный;83;
глобальная;83;
Ригидный;83;
прослеживаются;83;
вынужденного;82;
ограничено;82;
норма%;82;
псевдонормализация;82;
содержимым;82;
смешанная;81;
меж;81;
БПВЛНПГ;81;
сегменты;81;
Неполный;81;
хорда;81;
квсм;80;
Раскрытие;80;
ni;80;
Не;80;
Полость;80;
аортальные;80;
крайне;80;
д;80;
исключить;80;
внутрижелудочковая;79;
восхотделе;79;
задняя;79;
ИММЛЖ;79;
задненижней;79;
Склеродегенеративные;78;
Локализация;78;
Срединный;78;
результатом;78;
коллабирует;78;
гемодинамики;77;
ЕЕм;77;
Отчетливых;76;
незначительная;76;
оценке;76;
наполнение;76;
экстрасистолы;76;
истончение;75;
апикального;75;
ввиду;75;
межжелудочковая;75;
Зоны;75;
митральный;75;
поражение;74;
Кардиомегалия;74;
содержимого;73;
текст;73;
срединнобазальных;72;
E;72;
легочная;72;
ЭхоКГ;72;
Сепарация;71;
одиночные;71;
размеры;71;
фиброзные;70;
Качественно;70;
ВААлмазова;70;
КАГ;70;
трикуспидальной;69;
предыдущим;69;
Жидкость;69;
наличием;69;
Расчетные;69;
макс;69;
всего;69;
образований;69;
Небольшой;68;
Ла;68;
АоНедст;68;
миокарде;68;
Расширены;67;
Echocardiography;67;
За;67;
Eur;67;
Недостаточность;67;
аневризмы;67;
EAE’;67;
Признаки;67;
J;67;
асинхронизм;67;
дилатирован;67;
Дискинезия;66;
сброса;66;
уровнях;66;
Снижена;66;
снижены;66;
аортальных;65;
Федеральный;65;
аортальном;65;
Расширена;65;
Общая;65;
нормальных;64;
рекомендациям;64;
согласно;64;
ФП;64;
Аортальные;63;
*структурные;63;
Умеренное;63;
Выпота;63;
прПархоменко;63;
рассчитаны;63;
дилатацией;63;
Свободной;63;
относительно;63;
Регургитация;62;
существенной;62;
хорды;62;
нижнеперегородочных;62;
количества;62;
качество;61;
дистальном;61;
учетом;61;
стенками;61;
проводилось;61;
регионарной;61;
планиметрически;61;
умеренной;61;
небольшой;61;
сфокусировано;61;
вероятнее;61;
движения;61;
диаметр;60;
ругургитация;60;
легкой;60;
фиброзного;60;
II;60;
систолический;60;
струи;60;
митральной;60;
изоэхогенного;59;
уменьшение;59;
a;59;
Центр;59;
ЛЖмл;59;
кальцинированны;59;
виде;59;
аорту;59;
млкв;58;
структур;58;
динамика;58;
клапанный;58;
Рестриктивный;58;
визуализации;58;
ЦДК;58;
Электроды;58;
правое;57;
пристеночный;57;
значимо;57;
Минимальное;57;
восходящую;57;
Выявлена;57;
Толщина;57;
Трнедст;56;
Значительно;56;
левое;56;
Парадоксальное;56;
полостей;56;
CDI;56;
струей;56;
трёхстворчатый;56;
Симпсону;56;
толщина;55;
остальном;55;
нижняя;55;
фии;55;
левый;55;
немного;55;
дефект;55;
хорошо;54;
Восходящая;54;
локальное;54;
лёгочная;54;
мелкими;54;
+++;54;
СРТ;54;
истончен;54;
Расчетная;54;
синдром;54;
нельзя;54;
затруднено;53;
выраженно;53;
больше;53;
снижения;53;
наслоения;53;
Относительная;53;
со;53;
все;53;
ПЭКС;52;
повышения;52;
переднеперегородочной;52;
роста;52;
адискинезии;52;
Мкольца;52;
зона;51;
небольшое;51;
Лёгкое;51;
Убедительных;51;
минимальная;51;
эхолокации;51;
блокады;51;
истончена;51;
пациентки;51;
концентрическое;51;
участок;50;
Очаговое;50;
фибрина;50;
дилатации;50;
ВР;50;
о;50;
фиксирован;49;
Визуализируется;49;
максимально;49;
плотные;49;
граница;49;
прогиб;49;
С;49;
сегментами;49;
Лж;49;
гипертензии;49;
плотности;48;
АоС;48;
псевдонормальный;48;
Левые;48;
размером;48;
Расширение;48;
часть;48;
вынужденном;47;
данными;47;
максимальная;47;
Отмечается;47;
Феномен;47;
Состояние;47;
выполнено;47;
нижнебоковой;47;
Утолщена;47;
под;47;
деформация;47;
частая;47;
желудочковые;47;
поток;46;
Аополулуний;46;
электрод;46;
млквм;46;
транссептального;46;
результатами;46;
очаговый;46;
ДЛА;46;
имеется;46;
отделами;46;
уплотены;45;
отчетливо;45;
базальными;45;
Имеется;45;
Достоверно;45;
повышение;45;
Дополнительных;45;
объеме;45;
сохраняется;45;
Аоклапан;45;
пластики;44;
\;44;
крупные;44;
участки;44;
снижением;44;
исследование;44;
только;44;
визуализирован;44;
отрицательной;44;
гипермобильна;44;
имеет;44;
трабекулярность;44;
кальция;43;
обл;43;
всей;43;
СанктПетербург;43;
кальций;43;
положение;43;
рестриктивный;43;
базальные;43;
переднебокового;43;
феномен;43;
№;43;
эксцентричной;43;
Расчётное;42;
Крови;42;
доступа;42;
тракте;42;
Лг;42;
корня;42;
Эндокринологии;42;
ближе;42;
наполнения;42;
визуализация;42;
заполнена;42;
Сердца;42;
Умеренные;41;
формы;41;
ствола;41;
неоптимальной;41;
трабекулы;41;
начальное;41;
Диастолической;41;
in;41;
размерами;41;
эхоплотности;40;
Выявлены;40;
TAVSсм\сек;40;
тахисистолии;40;
выражена;40;
генеза;40;
общей;40;
+;40;
протеза;40;
физиологического;40;
краях;40;
Асинхронное;40;
правой;40;
большей;40;
пал;40;
электродов;40;
иб;39;
Уплотнение;39;
тахикардии;39;
них;39;
Расширено;39;
визуализацией;39;
Значимого;39;
механический;39;
тень;39;
парастернальной;39;
слева;39;
изоэхогенным;38;
поддерживается;38;
впечатление;38;
утолщение;38;
AVA;38;
Дегенеративные;38;
положительная;38;
просвет;38;
левой;38;
створке;38;
относительное;38;
допплерографии;38;
сброс;38;
Сохраняется;37;
расчетное;37;
относительная;37;
мышцы;37;
значительная;37;
как;37;
Дуга;37;
желудочковая;36;
стенках;36;
vena;36;
расхождением;36;
Амбулаторно;36;
гемодинамически;36;
ток;36;
коллабирование;36;
удлинена;35;
асинхронизма;35;
истончения;35;
VC;35;
ЖЭ;35;
Локализация	Базальный;35;
Истончение;35;
исключением;35;
неоптимальная;35;
Тяжелая;35;
выполнена;35;
Фрагментарный;35;
ДД;35;
позиций;35;
Глобальные;34;
струя;34;
перегрузки;34;
артерию;34;
корпус;34;
Лечебнореабилитационный;34;
сокращение;34;
нижнеперегородочной;34;
III;34;
Диффузная;34;
выраженных;34;
Аонедст;34;
полном;34;
сторону;34;
ВПС;34;
некоронарного;34;
руправление;33;
ИВЛ;33;
электрода;33;
Тень;33;
вынужденное;33;
++;33;
aaoaeoaoey;33;
выносящем;33;
сокращаются;33;
Несколько;33;
верхняя;33;
пространстве;33;
сокращения;33;
МА;32;
эксцентричная;32;
перегородка;32;
TASV;32;
лёгкий;32;
Дисфункция;32;
ложная;32;
контрастирование;32;
Избыточная;32;
Тяжелый;32;
грудной;32;
Жидкости;32;
время;32;
Трукшина;32;
лоцирована;32;
электроды;32;
базальным;32;
диаметром;32;
функционирующий;32;
перикардиальном;31;
уплотенны;31;
псевдонормализации;31;
Аккуратова;31;
отд;31;
направо;31;
изза;31;
Снижено;31;
мкольцо;31;
фиброза;31;
массивный;31;
покое;31;
форму;31;
локальные;31;
гидроперикарда;31;
ткань;31;
Гипо;31;
подвижности;31;
Механический;31;
жировая;30;
зоне;30;
эффективная;30;
тампонады;30;
тахикардия;30;
проекции;30;
состояние;30;
ускорение;30;
АКШ;30;
краевой;30;
выпот;30;
уплотнения;30;
Данных;30;
Выраженное;29;
парадоксальное;29;
ieieaaa;29;
пролабирует;29;
тромба;29;
между;29;
аортальной;29;
патологических;29;
расчётная;29;
истончением;29;
крупный;29;
раскрытия;29;
левые;29;
округлое;29;
Проявления;29;
плевральной;29;
VTI;29;
незначительный;29;
Мк;29;
Псевдонормальное;29;
крупных;29;
лёгкое;29;
Протез;28;
разнонаправленное;28;
проведения;28;
наличия;28;
максимальный;28;
Аорегст;28;
кальцинозом;28;
цикл;28;
ультразвуковой;28;
единичными;28;
структуры;28;
Папиллярный;28;
блокада;28;
потока;28;
сегментом;28;
транссептальное;28;
сохранна;28;
КО;28;
ПМЖА;28;
Доплер;27;
определено;27;
фрагментированно;27;
диффузный;27;
тенденция;27;
кальцинирован;27;
Рассчетное;27;
выраженное;27;
толщиной;27;
атеросклероза;27;
Меж;27;
Незначительное;27;
трепетание;27;
апикальной;27;
регургитаци;27;
незначительное;27;
CDIкартировании;26;
рестрикция;26;
mm;26;
Диастола;26;
ЕЕ*;26;
визуально;26;
анатомоконституциональными;26;
просвете;26;
особенностями;26;
протезирования;26;
аппарате;26;
Спонтанное;26;
частично;26;
Поперечная;26;
признак;26;
Начальные;26;
нормальная;26;
Диаметр;26;
восходящей;26;
ложные;25;
элементов;25;
Асинхронизм;25;
левоправый;25;
PISA;25;
прогибается;25;
e;25;
незначительным;25;
дополнительные;25;
хорошее;25;
протезе;25;
Патологии;25;
Свободная;25;
желудочком;25;
бассейне;25;
значениях;25;
кальцинатами;25;
Электрод;25;
представляется;25;
плевральных;25;
Simpson%;25;
бигеминии;25;
RV;25;
нс;24;
ДМПП;24;
НИО;24;
высокой;24;
вены;24;
гСанктПетербург;24;
Локальная;24;
Кальцинаты;24;
оптимально;24;
уточнения;24;
заднемедиальной;24;
минимальное;24;
СН;24;
толщины;24;
ср;24;
ПБПНПГ;24;
ул;23;
Низкое;23;
наиболее;23;
некоронарной;23;
Дополнительная;23;
больной;23;
И;23;
Утолщены;23;
грубой;23;
PG;23;
задними;23;
трикуспидальный;23;
субэндокардиальный;23;
дегенеративные;23;
contr;23;
подвижное;23;
миокрада;23;
i;23;
Iauai;23;
гипокинез;23;
умеренное;23;
Открытие;23;
гиперэхогенное;23;
Легкое;23;
шириной;23;
рубцовых;23;
ПС;22;
возможным;22;
Нельзя;22;
улучшение;22;
концентрического;22;
рестриктивное;22;
Впечатление;22;
oiaia;22;
контуру;22;
Монофазное;22;
Резко;22;
Рекомендовано;22;
МРст;22;
MR;22;
единичные;22;
Гиперкинез;22;
аппарата;22;
обусловленная;22;
двустворчатый;22;
aac;22;
условиях;22;
Noaiee;22;
no;22;
папиллярный;22;
вдох;22;
левом;22;
створках;22;
недостаточно;22;
качественно;22;
aiou;22;
организованный;22;
гиперкинезия;22;
клапанного;22;
КДД;21;
Минимальная;21;
Без;21;
коронарного;21;
градиентом;21;
облверхушки;21;
запирательных;21;
ритма;21;
обструкции;21;
хорд;21;
ie;21;
Simp;21;
ТрКРегст;21;
момент;21;
нарушением;21;
ЭхоКг;21;
ii;20;
Межжелудочковой;20;
Дополнительные;20;
Tsмс	Срединный;20;
ЗАКЛЮЧЕНИЕСостояние;20;
PHT;20;
наджелудочковые;20;
регистрируется;20;
LVEF;20;
Очевидные;20;
ЛПмм;20;
Обширные;20;
сниженной;20;
адекватно;20;
начальной;20;
acia–;20;
колво;20;
множественными;20;
визуализировано;20;
реагирует;20;
частой;20;
Пульмональной;20;
Колическтво;20;
эпигастральной;20;
коллабирования;20;
недостаточности;20;
аневризматически;20;
отделы;20;
Коллабирования;20;
образный;20;
коронарной;19;
ПКА;19;
синусовый+частая;19;
Ускорение;19;
средних;19;
комиссур;19;
ЛЖФВ;19;
ФГБУ;19;
локации;19;
степень;19;
кардиомегалия;19;
среднее;19;
Нормально;19;
переднем;19;
Аос;19;
сист;19;
TAVs;19;
обьем;19;
определяются;19;
Легочную;19;
тромбом;19;
включениями;19;
срединнодистальном;19;
затруднен;19;
срединные;19;
Осмотр;19;
лучше;19;
измерено;19;
АО;19;
area;19;
Коллабирование;19;
Нарушено;19;
выраженности;19;
расслабление;19;
ФМИЦ;19;
+ТДК;19;
подклапанные;19;
провод;19;
перегрузка;19;
адгезии;19;
Межпредсердная;18;
Пациент;18;
Физиологическое;18;
фрагментарный;18;
дист;18;
стVC;18;
особеннотсей;18;
vc;18;
мелкий;18;
краю;18;
склеродегенеративный;18;
баз;18;
ускорения;18;
Тромбов;18;
предсердии;18;
end;18;
же;18;
АоРегст;18;
diastolic;18;
структурно;18;
ППТ;18;
консультация;18;
овальное;18;
парастернального;18;
остальными;18;
ТрН;18;
парусовидное;18;
регургиатция;18;
легочную;18;
признаками;18;
выраженного;18;
TAVSсмсек;18;
увеличения;17;
трабекуляция;17;
ЭМБ;17;
визуализированы;17;
Качество;17;
субкостальной;17;
Фиброзные;17;
проведено;17;
плохо;17;
неподвижное;17;
окно;17;
ревматического;17;
обеих;17;
правом;17;
фиксированный;17;
значимого;17;
Фрагментарно;17;
склеродегенеративного;17;
перикардаКоличество;17;
патологическое;17;
эхогенности;17;
Краевое;17;
дополнительных;17;
высокоскоростной;17;
АВбл;17;
прежние;17;
ЛЖпо;17;
меньше;17;
дисакинезии;17;
полная;17;
деформации;17;
состояния;17;
критический;17;
вторичный;17;
неоднородным;17;
oieioiaiu;17;
RA;17;
АОполулуния;17;
ИКД;17;
данные;17;
шунт;17;
скорости;17;
сниженаФиброз;17;
показателей;17;
возможно;17;
краевое;17;
Атриомегалия;16;
тромбов;16;
ООО;16;
мелких;16;
разнонаправленные;16;
ФВ%;16;
TAPSЕ;16;
сбросом;16;
симметричная;16;
гипо;16;
стенку;16;
naaeiiuo;16;
п;16;
диагональная;16;
гипокаинезии;16;
общая;16;
Aeiaaeuiay;16;
утолщеныконцентрическая;16;
Эндокард;16;
септальной;16;
боковыми;16;
всему;16;
турбулентный;16;
сокартимость;16;
поперечная;16;
пластика;16;
устья;16;
допплера;16;
физиологической;16;
nieaoeiinou;16;
Биопротез;16;
желудочковой;16;
расхождения;16;
расширения;16;
тромбоза;16;
способом;16;
замедлен;16;
эндокарда;16;
скоростные;15;
других;15;
AR;15;
мс	Срединный;15;
eiaaen;15;
межпредсердной;15;
кинетики;15;
папиллярные;15;
Регургитации;15;
Ее’;15;
Во;15;
улучшения;15;
транссептальный;15;
ВP;15;
полой;15;
парадоксального;15;
состоит;15;
индексам;15;
ТрКбез;15;
фрагментировано;15;
дугу;15;
ЧПЭХОКГ;15;
LVOT;15;
объему;15;
Повышенная;15;
включения;15;
синусовая;15;
ЗАКЛЮЧЕНИЕГипертрофия;15;
пульмональный;15;
линейные;15;
N;15;
Утолщен;15;
две;15;
вопроса;15;
ЛЖна;15;
сред;15;
Кальцинированы;15;
ACh;15;
Тромбы;15;
Тромб;15;
гиперэхогенен;15;
умеренного;15;
Удлинена;15;
ИОЛП;15;
Выявлено;15;
над;15;
соединения;15;
свободная;15;
трёх;15;
прилегающих;15;
Функция;14;
этой;14;
гипокинеза;14;
площади;14;
максимальным;14;
плевральном;14;
локальных;14;
Увеличены;14;
месте;14;
утолщением;14;
обструкция;14;
aacaeuiuo;14;
направлена;14;
VIVIDE;14;
LV;14;
створку;14;
EROA;14;
ВТПЖ;14;
фиброзно;14;
–образный;14;
функцией;14;
Sобразную;14;
кальцинатов;14;
Повышено;14;
направлению;14;
МКольца;14;
те;14;
концентрической;14;
значительное;14;
смкв;14;
повышенной;14;
предней;14;
объёмной;14;
комиссуры;14;
ок;14;
некоторое;14;
Гиперкинезия;14;
итм;14;
Пролапс;14;
синотубулярного;14;
Выраженные;14;
переходом;14;
синусе;14;
центральной;14;
гипермобильность;14;
внутрисердечного;14;
Очаговые;14;
ограничением;14;
обычные;14;
ИОПП;14;
анэхогенным;14;
нижнеперегородочном;14;
тракта;14;
объма;14;
нее;13;
отрыв;13;
изгибом;13;
бассейн;13;
центральный;13;
Мелкие;13;
БЛНПГ;13;
парастернальных;13;
рег;13;
округлый;13;
тел;13;
Неравномерное;13;
асинхронного;13;
митральном;13;
косвенных;13;
головке;13;
ОРИТ;13;
вж;13;
сегментарных;13;
наличии;13;
плотная;13;
оцененная;13;
переднюю;13;
диффузно;13;
контурами;13;
