;48030;
просвет;144;
ушивание;144;
катетера;143;
болезни;143;
Васильевич;143;
введение;143;
Genius;142;
правый;142;
почечной;142;
второго;141;
истории;141;
Николаевна;140;
Проксимально;139;
месяц;139;
измененном;139;
годN;139;
системой;139;
СЗФМИЦ;138;
От;138;
FL;137;
отмечается;137;
Умеренные;136;
Коронарография;136;
Ивановна;135;
ВСА;133;
Снять;133;
Юрий;133;
поддержки;133;
инфузию;132;
данную;132;
ослабления;131;
бассейна;129;
ревизии;129;
sin;127;
адекватного;127;
ослабление;127;
орд;127;
баллонным;127;
диффузно;126;
+;126;
TRBand;125;
Коронарный;124;
сут;124;
Кло;123;
Послойное;122;
Начало;122;
вмешательство;122;
Pro;122;
коже;122;
система;122;
VLSH;121;
дистальнее;120;
помощью;120;
компрессионная;120;
крупная;119;
Галина;119;
решения;117;
Финальная;117;
Оперативное;117;
Анатолий;116;
условиях;115;
фрагменты;115;
снятие;115;
сестра;114;
просвета;114;
левый;113;
врач;113;
провести;113;
удаления;113;
изменениями;112;
ОСА;112;
сохранении;111;
Андрей;111;
стенте;111;
бригада;111;
давящей;111;
учетом;110;
плевральной;110;
Stabilizer;110;
второй;110;
массы;110;
Контраст;109;
Восстановление;109;
субокклюзия;109;
попытка;109;
случае;108;
удалось;108;
Попытка;108;
ФН;108;
НИЛ;108;
дренажей;107;
дистальному;107;
между;107;
Людмила;107;
стернотомия;106;
стентированного;106;
HF;106;
количество;105;
компрессионную;105;
Остановлен;105;
Васильевна;105;
гемостатическая;105;
дистальную;104;
Алексеевич;104;
выполнено;104;
тромботические;104;
малого;103;
отдела;102;
клексана;102;
Александровна;101;
эмболизации;101;
коМВ;101;
Татьяна;101;
Отмечается;100;
ЭКС;100;
использованием;100;
канюли;100;
ТЕЕ;100;
проксимальном;99;
проводнику;99;
MA;99;
имели;98;
выполнить;98;
Liberte;98;
реканализации;98;
РЭХ;98;
ячеек;98;
ProKinetik;97;
стабилизации;97;
Многократные;97;
Попытки;97;
постдилатацией;97;
маргинальной;97;
уровне;97;
тромбэкстракция;97;
проведена;96;
Михайловна;96;
протяженная;96;
критического;96;
Есиповичем;95;
Q;95;
перед;95;
грудиной;95;
PTCA;95;
удалены;95;
тромба;94;
Удалены;94;
переходом;94;
postdilatation;94;
наклейка;94;
выделена;94;
ИБС;94;
ЭКК;94;
сердечной;94;
ДИАГНОЗ;94;
бедренной;93;
срединная;93;
деятельности;93;
Валерий;92;
Prokinetic;92;
раскрыта;92;
"Sprinter;92;
Conquest;92;
Dior;92;
функционального;91;
контрольных;91;
повязки;91;
представлена;91;
РЭХМДиЛ;91;
мг;91;
Система;91;
передней;90;
установкой;90;
груди;90;
стентировании;90;
интродюсера;90;
гайдкатетера;90;
ОСНОВНОЙ;90;
зоне;90;
состояния;89;
NGL;89;
общая;89;
класса;89;
Валентина;88;
Аспирация;88;
проводниковый;88;
OMEGA;88;
Диагноз;88;
АО;87;
сужение;87;
soft;87;
ЗавотдРХМДиЛ№ИД;87;
Soft;87;
гепарин;87;
et;86;
участке;86;
имплантированного;86;
России;86;
вена;86;
лучевой;86;
СДата;86;
Федорович;86;
Gaia;86;
ИК;86;
предилатации;85;
IL;85;
фоне;85;
электродов;85;
выполнения;85;
ангиографии;85;
системы;84;
Атеросклероз;84;
тромбаспирация;84;
декомпрессия;84;
суток;84;
кальциноз;84;
РЭХДА;83;
ПМЖАДА;83;
аортального;83;
ФК;83;
решено;83;
сек;82;
кл;82;
выполнение;82;
Петрович;82;
Legend";82;
анастомозов;82;
анестезиолога;82;
умеренно;81;
Визуально;81;
Хирург;81;
сухо;81;
ПВСА;81;
Наблюдение;81;
осложнений;81;
cтеноза;81;
Из;80;
Sterling;80;
подключичной;80;
Медицинский;80;
Исследовательский;80;
Савелло;80;
Центр;80;
получено;80;
контрастного;79;
контрольная;79;
эффектом;79;
XS;79;
РАХИД;79;
Баллонная;79;
Тромбаспирация;78;
Начата;78;
Terumo;78;
МКШ;78;
устьевого;78;
пк;78;
антеградного;78;
оптимального;78;
удалением;78;
заполнение;77;
кровяная;77;
тонкая;77;
положительным;77;
поддержке;77;
коллатералям;77;
ратм;76;
градиент;76;
Перфузиолог;76;
Игорь;76;
Monorail;76;
голени;76;
АСБ;75;
IIIII;75;
признаками;75;
болезнь;75;
самостоятельно;75;
напряжения;75;
DIOR;74;
среднем;74;
стенокардия;74;
XT;74;
СевероЗападный;74;
Петровна;74;
Ао;74;
Принято;74;
Resolute;73;
ремиссия;73;
рт;73;
Кардиоплегия;73;
проксимальный;73;
диагональной;72;
протяженный;72;
удалена;72;
Параллельно;72;
замедлен;72;
затем;71;
Подключение;71;
Павлович;71;
внутрисистемным;71;
Борисович;70;
диагностический;70;
максимально;70;
ординатор;70;
Клинический;70;
диффузных;70;
проксимальных;70;
Хронический;70;
движений;70;
Бережная;70;
пункция;69;
назначенной;69;
коронарной;69;
обменному;69;
имплантации;69;
шунтам;69;
предсердие;68;
аспирация;68;
Интраоперационных;68;
способ;68;
ЗавНКОРХМДиЛДА;68;
ВВПриворотский;68;
последовательная;68;
ДАШапошников;68;
\с;68;
выраженный;68;
проксимального;68;
максимального;68;
КЮ;67;
антероградный;67;
Нина;67;
нед;67;
мкг;67;
окклюзирована;67;
сохранения;67;
инфляции;67;
дооперационном;67;
выявлено;66;
этап;66;
изотермическая;66;
обсуждение;66;
выполнении;66;
ветвью;66;
поэтапная;66;
Запущен;66;
интегрилин;66;
"Emerge";66;
диффузными;66;
техническими;65;
русла;65;
основную;65;
максимумом;65;
протрузией;65;
аортаправое;65;
Тромбэкстракция;65;
пациента;64;
Falcon;64;
сонной;64;
анастомоз;64;
руки;64;
покой;64;
устьев;64;
TIN;64;
ветвей;64;
Владимировна;63;
около;63;
АК;63;
миокарда;63;
также;63;
Василий;63;
интракоронарного;62;
доминирующей;62;
участок;62;
антеретроградно;62;
утра;62;
Андреевич;61;
СТО;61;
аутовена;61;
связи;61;
проходимы;61;
анастомоза;61;
Наталья;61;
наложен;61;
тромбоз;60;
ВL;60;
огибающей;60;
обсужден;60;
перфузии;60;
Леонидович;60;
Замена;60;
Зеленин;60;
более;60;
момент;60;
данных;60;
Сформировано;59;
трудностями;59;
ВАБК;59;
бифуркацией;59;
ЛВСА;59;
дополнительной;59;
стенки;59;
AR;59;
Состояние;59;
Атероматоз;59;
запись;59;
Стентирование;59;
Kinetic;59;
измененные;59;
Дистально;59;
Стернотомия;58;
Выполнен;58;
внутренней;58;
АА;58;
пережатия;58;
риск;58;
имплантация;58;
прохождения;58;
БЦА;58;
ДОПОЛНЕНИЯ;58;
Выполнено;58;
бедра;57;
Множественные;57;
инфузии;57;
Есиповича;57;
бассейнах;56;
проксимальному;56;
Второй;56;
фк;56;
РАХ;56;
Tr;56;
АL;56;
Final;56;
целью;56;
Стент;56;
дистального;55;
BMW;55;
доступом;55;
руслу;55;
рра;55;
ОАР;55;
двухпроводниковой;55;
контраста;55;
БЦС;55;
аагр;55;
Ангиопластика;55;
БАП;54;
пристеночного;54;
пределах;54;
выраженная;54;
цвета;54;
умеренными;54;
серии;54;
Минздрава;54;
агентства;54;
наложенной;54;
матки;54;
ДВ;54;
антипролиферативным;54;
ЕД;53;
объема;53;
артой;53;
субмаксимальным;53;
кардиосклероз;53;
Геннадий;53;
покрытия;53;
поражения;53;
выраженных;53;
давящая;53;
сегменты;52;
створок;52;
EBU;52;
двух;52;
катетеризация;52;
Препарат;52;
введен;52;
sol;52;
решением;52;
лекарственного;52;
Борис;52;
Инфузия;52;
линии;52;
воздержаться;52;
аутовенозное;52;
его;52;
формирования;51;
получены;51;
Аппозиция;51;
необходимости;51;
перевод;51;
Сформирован;51;
ЦВБ;51;
измененной;51;
ХСН;51;
Клорд;50;
JRSH;50;
xмм;50;
препарата;50;
снятия;50;
отсутствует;50;
операцию;49;
Рекроссинг;49;
баллонной;49;
наркоз;49;
гемостаз;49;
стентом;49;
Мартынов;49;
ККП;49;
СLS;49;
стенозом;49;
CiD;48;
этапа;48;
выраженными;48;
Алексеевна;48;
направляющий;48;
Максимальный;48;
Елена;48;
бляшки;48;
зон;48;
Светлана;48;
КА;48;
смена;48;
бандаж;48;
края;48;
кольца;47;
ограничение;47;
Метод;47;
третях;47;
ишемии;47;
дальнейших;47;
ИМ;47;
регургитация;47;
SolLidocaini;47;
основного;47;
SNovocaini;47;
диаметром;47;
тромб;47;
статус;47;
боковой;47;
Операции;47;
восстановления;47;
ангиограмм;46;
нижней;46;
СТРЕСС;46;
хроническая;46;
Анатольевна;46;
Неврологический;46;
Во;46;
просвете;46;
правого;46;
восходящего;46;
коронарографии;46;
Арех;46;
OTW;46;
ПОСА;46;
Вячеслав;46;
Гипертоническая;46;
ликвидирован;46;
FilterWire;46;
замедление;45;
умеренные;45;
МАНОМЕТРИЯ;45;
протез;45;
течении;45;
баллона;45;
GALEO;45;
максимальным;45;
обеих;45;
Мнс;45;
Стресс;45;
Лидия;45;
исключить;45;
Галлингер;45;
ЕО;45;
мелкие;44;
Прием;44;
отказаться;44;
Удалить;44;
Ольга;44;
шунту;44;
Субкраниально;44;
ВрачМоносов;44;
пульсация;44;
PRO;44;
режиме;44;
попыток;44;
возможно;44;
бифуркационное;44;
е;43;
Иван;43;
Нестабильная;43;
выраженные;43;
выше;43;
субкраниально;43;
получен;43;
катетеризации;43;
RI;43;
применением;43;
постельного;43;
соблюдение;43;
доступ;43;
установить;43;
Надежда;43;
функционирует;43;
режима;43;
полна;43;
строгого;43;
удовлетворительно;42;
клапанного;42;
удовлетворительное;42;
извитость;42;
позиционированы;42;
стентграфта;42;
Павловна;42;
у;42;
Heartrail;42;
максимальных;42;
Promus;42;
Тамара;42;
Введен;42;
МН;42;
Дмитриевич;42;
кишки;42;
крайне;42;
"Apex";42;
гастрит;42;
Постдилятация;42;
аспирационным;41;
"Pilot;41;
ФЦСКиЭ;41;
измененного;41;
шов;41;
Валентин;41;
коронарному;41;
v;41;
реканализация;41;
Push;41;
тромботическая;41;
остаточный;41;
Зверевым;40;
M";40;
Гайдкатетер;40;
всех;40;
crush;40;
TAVI;40;
Петр;40;
раскрыт;40;
этапе;40;
sinistrа;39;
зона;39;
общей;39;
два;39;
антеградно;39;
нитроглицерина;39;
последующей;39;
гр;39;
Сергеевна;39;
сбалансированный;39;
in;39;
средний;39;
полость;39;
ЛП;39;
тип;39;
стволе;39;
эмболизация;38;
Xience;38;
шунтирования;38;
Дислипидемия;38;
замедленный;38;
проводниками;38;
верхушки;38;
створки;38;
Ирина;38;
выпиской;38;
Установлен;38;
Признаков;38;
Балонная;38;
реканализированной;38;
анастомозы;38;
справа;38;
сохраняется;38;
артериям;38;
Окончание;38;
поверхности;37;
восстановление;37;
"Ультравист;37;
позицию;37;
Finale;37;
аортальную;37;
аорту;37;
NM;37;
клапан;37;
выраженной;37;
ЭИТ;37;
плановое;37;
пожизненно;37;
участка;37;
ретроградного;37;
стволовой;37;
"Omega";37;
стрессЭХО;37;
Окклюзия;36;
дистальный;36;
Завотд;36;
проводником;36;
транскатетерная;36;
Манжета;36;
позвоночной;36;
визуальным;36;
~;36;
LADDA;36;
недели;36;
проксимальнее;36;
хмм;36;
НО;36;
оптимально;36;
Валентинович;36;
имплантацией;35;
Рестеноз;35;
Light;35;
конечности;35;
Соп;35;
Селективная;35;
линейным;35;
в\в;35;
FRSH;35;
Интродьюсеры;35;
кратчайшие;35;
окончание;35;
стенозы;35;
диаметр;35;
контрольное;35;
ас;35;
введением;35;
Учитывая;35;
balloon;35;
вещества;35;
атеросклеротической;35;
Любовь;35;
отхождения;35;
ASAHI;35;
КАГ;35;
катетерами;35;
подшит;35;
Precise;34;
гайдкатетеры;34;
Зверева;34;
часть;34;
Викторовна;34;
брюшной;34;
резидуального;34;
каротидном;34;
потеря;34;
mini;34;
Минздравсоцразвития;34;
слева;34;
РЭХМДиД;34;
MB;34;
Васильев;34;
правая;34;
отделе;34;
усилением;34;
Григорьевич;34;
дистальном;34;
МВОА;34;
перевязка;34;
поддержкой;34;
показано;34;
Р;34;
Ас;34;
Stiff;34;
Артериальный;34;
рестеноз;34;
Проводник;34;
ФГУ;34;
селективная;34;
заполнения;33;
жидкости;33;
Использованы;33;
эксцентричный;33;
LMCA;33;
паллиативная;33;
соответственно;33;
Wire;33;
ой;33;
EZ;33;
КоКраснов;33;
типу;33;
ЭТН;33;
Роман;33;
хорошо;33;
вовлечением;33;
Клапан;33;
оптимизация;33;
показана;33;
держалки;33;
Павел;33;
Мария;33;
проводниковой;33;
стрессэхо;32;
ежедневная;32;
миграция;32;
катетеру;32;
множественные;32;
операционного;32;
Slam;32;
систолический;32;
ретроградное;32;
ВЭКС;32;
позиционирование;32;
First;32;
стволу;32;
аорта;32;
HS;32;
протяженной;32;
Kissing;32;
ОАМА;32;
Лариса;32;
legend;32;
kissingпостдилатация;32;
атеросклероз;32;
коронарными;32;
аспирационный;32;
истинный;32;
ВрачиАЕ;31;
Виталий;31;
сторон;31;
ВрачиДАШапошников;31;
Pigtail;31;
Вера;31;
эндотрахеальный;31;
отчётливая;31;
аксетин;31;
протеза;31;
ПА;31;
ЛОСА;31;
умеренный;31;
утро;31;
диаметре;31;
подвздошной;31;
учитывая;31;
клапане;31;
их;31;
коронарным;31;
Клин;31;
ВрачВЮ;31;
поля;31;
обработки;31;
развитие;31;
отдел;31;
отсутствия;31;
stent;31;
же;31;
обеспечения;31;
Avantgarde;30;
дренированием;30;
этапной;30;
Grand;30;
Федоров;30;
Коронарные;30;
кальциноза;30;
ПБА;30;
стентирований;30;
третей;30;
Оглы;30;
hydro;30;
Оперировал;30;
поступление;30;
зажим;30;
"Orsiro";30;
Станислав;30;
IABC;30;
Кена;30;
швами;30;
совместно;30;
ЭКГ;30;
Осл;30;
давления;30;
выделены;30;
левого;30;
прослеживается;30;
Prolene;30;
пуска;30;
Аортокоронарный;30;
кисти;29;
удалён;29;
данные;29;
синуса;29;
расправление;29;
запущен;29;
числе;29;
объем;29;
Гордеев;29;
обсуждены;29;
динамики;29;
нарушение;29;
оценки;29;
контрастирования;29;
кло;29;
light;29;
гайд;29;
инфаркт;29;
характера;29;
фиксированы;29;
катетеров;29;
Получено;29;
Коронарная;29;
том;29;
ФЖ;29;
кг;29;
Степанович;29;
вращательных;29;
Леонид;29;
"Export";29;
митрального;29;
проведение;29;
Гемостатическая;29;
ЧСС;29;
рекомендовано;29;
Получены;29;
Анна;28;
большими;28;
формы;28;
ПП;28;
коВ;28;
Кл;28;
повторная;28;
ОВ;28;
дистальная;28;
протяженную;28;
FKP;28;
LСx;28;
Проведение;28;
Naropini;28;
спазм;28;
устройства;28;
антероградно;28;
протезом;28;
Подключен;28;
Femoralis;28;
баллонными;28;
Дацаев;28;
Георгиевич;28;
типа;28;
улучшения;28;
попытке;28;
небольшого;28;
увенчались;28;
рентгеноангиографической;28;
Определяется;28;
выраженного;28;
Реперфузия;28;
сохранен;27;
двухрядным;27;
ч;27;
пристеночный;27;
Amplatz;27;
одновременным;27;
Промежуточная;27;
артерию;27;
Инструмент;27;
SLidocaini;27;
"Integrity";27;
секунд;27;
тромбов;27;
Lidokaini;27;
степени;27;
ретровентрикулярной;27;
значимости;27;
ЭТА;27;
клорд;27;
Пациентка;27;
Постинфарктный;27;
резидуальный;27;
КАС;27;
инфляция;27;
aа;27;
Устьевой;27;
СА;27;
Константинович;27;
Second;27;
АР;27;
Магомед;27;
устью;26;
диссекцию;26;
Н;26;
сужений;26;
обострения;26;
большое;26;
успехом;26;
CLSSH;26;
терапию;26;
правую;26;
AFD;26;
Шунт;26;
Culotte;26;
Kissingпостдилатация;26;
септальной;26;
признаки;26;
t;26;
"Sapphire;26;
максимальной;26;
XB;26;
Консультация;26;
Проксимальная;26;
аретрии;26;
IR;26;
задней;26;
МЕ;26;
извитости;26;
АСТ;26;
острого;26;
изменённый;26;
ВрачиЕН;26;
ГБ;26;
Перикардотомия;26;
СВ;26;
Осложнения;26;
Eliminate;26;
IG;26;
полное;26;
кальция;26;
V;26;
небольшое;26;
ГБА;25;
РС;25;
АГ;25;
кисть;25;
верапамила;25;
aradialis;25;
МВКузнецов;25;
улучшение;25;
Константин;25;
Основная;25;
фкл;25;
опираться;25;
определением;25;
WRP;25;
PRECISE;25;
прямое;25;
наиболее;25;
Lcx;25;
убрать;25;
недостаточность;25;
имени;25;
''Оптирей'';25;
Ангиография;25;
данным;25;
ВАБКП;25;
дренажа;25;
активным;25;
луковицы;25;
ствол;25;
устойчивом;25;
нельзя;25;
аспирин;25;
коронарошунтография;25;
стенке;25;
Михайлов;25;
полностью;25;
двумя;25;
сестры;25;
НF;25;
ФБГУ;25;
впечатление;25;
CoreValve;24;
антибиотикопрофилактику;24;
аа;24;
сосудистый;24;
частично;24;
gap;24;
окклюзированной;24;
Vision;24;
Заголовок;24;
выходной;24;
тракт;24;
достигнут;24;
этапу;24;
синусе;24;
Valve;24;
вен;24;
антиагрегантная;24;
во;24;
эндоваскулярная;24;
складывается;24;
Percutaneous;24;
аортой;24;
Общее;24;
диссекциитромбоза;24;
минут;24;
мгсутки;24;
ВК;24;
Антеградный;24;
покоя;24;
й;24;
Flex;24;
finale;24;
вальвулопластика;24;
Яковлевна;24;
рентгеноперационной;24;
баллон;24;
объективизации;24;
Aortic;24;
[Medtronic];24;
нижних;23;
визуализируются;23;
КО;23;
Шов;23;
основному;23;
Продолжить;23;
лечение;23;
определяются;23;
протрузия;23;
Выраженный;23;
Пункция;23;
Пережата;23;
конечностей;23;
двукратной;23;
поперечным;23;
усиления;23;
Повязка;23;
открытием;23;
Навасардян;23;
возобновлении;23;
амплитуду;23;
MP;23;
Recrossing;23;
финальная;23;
внутривенную;23;
Заполнение;23;
Super;23;
материала;23;
ограничивает;23;
компрессии;23;
Гусев;23;
грудной;23;
слабо;23;
об;23;
Интракраниальные;23;
Геннадьевич;23;
Резидуальный;23;
безуспешны;23;
Основной;23;
предмет;23;
Premier;23;
Apex";23;
систолу;23;
Снят;23;
Гребенник;23;
субокклюзирована;22;
